parent_theme_name,decade,rgb,color_name,part_quantity
Model,1990,C91A09,Trans-Red,60.0
Model,1990,F2CD37,Yellow,1909.0
Model,1990,F5CD2F,Trans-Yellow,41.0
Model,1990,F8F184,Trans-Neon Green,5.0
Model,1990,FCFCFC,Trans-Clear,76.0
Model,1990,FFFFFF,Milky White,4.0
Model,1990,FFFFFF,White,1123.0
Model,2000,0020A0,Trans-Dark Blue,40.0
Model,2000,0055BF,Blue,3359.0
Model,2000,008F9B,Dark Turquoise,9.0
Model,2000,05131D,Black,17804.0
Model,2000,05131D,[No Color],18.0
Model,2000,0A3463,Dark Blue,8.0
Model,2000,184632,Dark Green,150.0
Model,2000,237841,Green,507.0
Model,2000,575857,Pearl Dark Gray,36.0
Model,2000,582A12,Reddish Brown,241.0
Model,2000,5A93DB,Medium Blue,27.0
Model,2000,635F52,Trans-Black,46.0
Model,2000,6C6E68,Dark Bluish Gray,4039.0
Model,2000,6D6E5C,Dark Gray,336.0
Model,2000,720E0F,Dark Red,278.0
Model,2000,84B68D,Trans-Green,61.0
Model,2000,898788,Flat Silver,125.0
Model,2000,899B5F,Metallic Green,23.0
Model,2000,958A73,Dark Tan,8.0
Model,2000,9BA19D,Light Gray,2294.0
Model,2000,9CA3A8,Pearl Light Gray,54.0
Model,2000,A0A5A9,Light Bluish Gray,10361.0
Model,2000,A5A9B4,Metallic Silver,158.0
Model,2000,A95500,Dark Orange,1.0
Model,2000,AEEFEC,Trans-Light Blue,21.0
Model,2000,BBE90B,Lime,230.0
Model,2000,BDC6AD,Glow In Dark Trans,2.0
Model,2000,C91A09,Red,3817.0
Model,2000,C91A09,Trans-Red,207.0
Model,2000,CFE2F7,Trans-Medium Blue,4.0
Model,2000,D4D5C9,Glow In Dark Opaque,9.0
Model,2000,DBAC34,Metallic Gold,1.0
Model,2000,E0E0E0,Chrome Silver,4.0
Model,2000,E4CD9E,Tan,1290.0
Model,2000,F08F1C,Trans-Orange,179.0
Model,2000,F2CD37,Yellow,3464.0
Model,2000,F5CD2F,Trans-Yellow,93.0
Model,2000,F8BB3D,Bright Light Orange,1.0
Model,2000,F8F184,Trans-Neon Green,38.0
Model,2000,FCFCFC,Trans-Clear,374.0
Model,2000,FE8A18,Orange,116.0
Model,2000,FF800D,Trans-Neon Orange,45.0
Model,2000,FFFFFF,White,2064.0
Model,2010,0020A0,Trans-Dark Blue,5.0
Model,2010,0055BF,Blue,3638.0
Model,2010,05131D,Black,9725.0
Model,2010,05131D,[No Color],9.0
Model,2010,0A3463,Dark Blue,164.0
Model,2010,184632,Dark Green,15.0
Model,2010,237841,Green,183.0
Model,2010,352100,Dark Brown,16.0
Model,2010,4B9F4A,Bright Green,116.0
Model,2010,582A12,Reddish Brown,343.0
Model,2010,5A93DB,Medium Blue,188.0
Model,2010,635F52,Trans-Black,601.0
Model,2010,6C6E68,Dark Bluish Gray,3096.0
Model,2010,720E0F,Dark Red,81.0
Model,2010,84B68D,Trans-Green,5.0
Model,2010,898788,Flat Silver,61.0
