comfort_discussing_mhd_coworkers,comfort_discussing_mhd_supervisor,discussing_mhd_neg_cons,discussing_phi_neg_cons,taking_serious_mh_ph,having_mhi_hurts_career,gender,age
Yes,Yes,No,No,Yes,"No, I don't think it would",male,26
No,No,No,No,I don't know,"No, I don't think it would",male,31
Maybe,Yes,No,No,Yes,Maybe,female,31
No,Yes,Maybe,No,No,"Yes, it has",female,45
Maybe,Maybe,Maybe,No,I don't know,Maybe,male,39
Yes,Yes,No,No,Yes,"No, I don't think it would",female,27
Yes,Yes,Maybe,No,I don't know,Maybe,male,28
Maybe,Maybe,Maybe,No,No,Maybe,male,36
Maybe,Yes,No,No,I don't know,"Yes, it has",male,51
Yes,Yes,No,No,I don't know,Maybe,male,28
No,No,Yes,Maybe,I don't know,"Yes, I think it would",male,40
Yes,Yes,No,No,Yes,Maybe,female,35
No,No,Yes,No,No,"Yes, I think it would",male,38
No,Maybe,Yes,Maybe,I don't know,"Yes, I think it would",male,29
Yes,Yes,Maybe,Maybe,I don't know,"Yes, I think it would",female,31
Maybe,Maybe,Yes,No,No,"Yes, I think it would",male,45
Maybe,Maybe,No,No,No,"No, it has not",male,26
Yes,Yes,No,No,Yes,Maybe,male,42
Maybe,Yes,No,No,Yes,Maybe,female,28
Yes,Maybe,Maybe,No,I don't know,Maybe,male,28
Yes,Maybe,Maybe,Yes,Yes,Maybe,female,39
Maybe,Maybe,Maybe,Maybe,Yes,"No, it has not",male,34
Yes,Yes,No,No,Yes,Maybe,female,28
Maybe,Yes,Maybe,Maybe,Yes,"Yes, I think it would",female,35
Maybe,Yes,No,No,Yes,Maybe,male,42
Yes,Yes,No,No,Yes,Maybe,other,99
Maybe,Maybe,Maybe,No,I don't know,Maybe,male,28
Maybe,Maybe,Yes,Maybe,No,"Yes, it has",female,28
Maybe,Maybe,Maybe,Maybe,I don't know,"No, I don't think it would",female,21
Yes,Maybe,Yes,Maybe,No,"Yes, it has",male,38
Maybe,Yes,No,No,Yes,"Yes, I think it would",male,33
Maybe,Yes,No,No,I don't know,"Yes, I think it would",female,28
Maybe,Maybe,No,No,Yes,Maybe,male,32
No,No,Yes,Maybe,I don't know,Maybe,female,24
Maybe,No,Maybe,No,No,Maybe,male,35
Maybe,No,Yes,Yes,No,"Yes, I think it would",female,24
Yes,Yes,No,No,I don't know,"No, it has not",male,30
No,No,Yes,Yes,I don't know,"Yes, I think it would",female,47
No,Yes,No,No,Yes,"Yes, I think it would",male,32
No,Maybe,Maybe,No,I don't know,"Yes, I think it would",male,32
Yes,Yes,No,No,Yes,"No, it has not",male,37
No,Maybe,No,No,Yes,Maybe,female,28
Maybe,Maybe,No,Maybe,Yes,Maybe,male,30
Maybe,Maybe,Maybe,No,I don't know,"Yes, I think it would",male,34
No,Yes,Maybe,No,Yes,"Yes, I think it would",male,32
Yes,Yes,Maybe,Maybe,I don't know,"Yes, it has",male,37
Maybe,Maybe,Yes,Maybe,Yes,"Yes, I think it would",male,31
Maybe,Maybe,Maybe,No,I don't know,"Yes, it has",male,26
Maybe,Yes,Maybe,No,No,"Yes, I think it would",male,36
No,No,Maybe,No,I don't know,"Yes, I think it would",male,38
No,Maybe,Maybe,Maybe,I don't know,Maybe,male,26
Maybe,Yes,Maybe,No,I don't know,"Yes, I think it would",male,37
Maybe,Maybe,No,No,No,Maybe,female,27
Yes,Yes,No,No,Yes,"No, I don't think it would",male,32
Yes,Yes,No,No,Yes,"Yes, I think it would",female,26
Maybe,Yes,No,No,I don't know,Maybe,male,29
Yes,Maybe,Maybe,Maybe,I don't know,"Yes, I think it would",male,26
Maybe,Maybe,No,No,No,"Yes, I think it would",female,23
Yes,Yes,No,No,Yes,"No, I don't think it would",male,30
No,No,Maybe,Maybe,No,Maybe,male,40
No,No,Maybe,Maybe,I don't know,"Yes, I think it would",male,46
Yes,Yes,No,No,I don't know,Maybe,male,26
No,No,Maybe,No,I don't know,"Yes, I think it would",male,30
No,No,Yes,Maybe,I don't know,"Yes, I think it would",female,27
Maybe,No,Maybe,No,No,"Yes, I think it would",female,26
Yes,Yes,No,No,I don't know,Maybe,male,35
Maybe,Maybe,No,No,Yes,Maybe,male,29
